Country,Count
,0
Bangladesh,1
Luxembourg,1
Czech Republic,3
Sweden,66
Dominican Republic,3
Ireland,10
Singapore,10
Portugal,2
Saudi Arabia,3
Ukraine,12
"Iran, Islamic Republic of",8
Slovakia,2
Israel,2
Kenya,1
Malaysia,1
"Taiwan, Province of China",4
Bosnia and Herzegovina,3
Nigeria,5
China,215
Qatar,1
Australia,44
Serbia,1
United Arab Emirates,9
Belgium,6
Thailand,3
El Salvador,2
United Kingdom,72
Germany,70
Canada,227
Slovenia,1
Greece,2
Chile,2
South Africa,6
Peru,5
Japan,33
Jamaica,2
New Zealand,6
Norway,5
Pakistan,7
Brazil,27
Guatemala,1
"Venezuela, Bolivarian Republic of",2
Tunisia,1
Morocco,1
Mexico,3
Poland,9
Indonesia,2
Viet Nam,21
Jordan,1
Papua New Guinea,2
Finland,10
"Tanzania, United Republic of",1
France,38
Hong Kong,9
Philippines,9
United States,1279
Turkey,5
Belarus,1
Netherlands,81
Mauritius,2
Spain,6
Bhutan,1
Italy,14
Oman,1
"Congo, The Democratic Republic of the",1
India,242
"Korea, Republic of",1
Denmark,7
Mongolia,2
Switzerland,18
Hungary,3
Russian Federation,17
Romania,3
Austria,4
Lithuania,2
"Moldova, Republic of",1
Nepal,2
