Country,Count
Afghanistan,1
Australia,16
Belgium,7
Brazil,6
Canada,51
China,12
Croatia,1
Denmark,3
Finland,2
France,20
Germany,25
Hong Kong,13
Hungary,1
India,39
Indonesia,1
"Iran, Islamic Republic of",30
Ireland,5
Israel,1
Italy,3
Japan,34
Kenya,1
"Korea, Republic of",1
Malaysia,3
Netherlands,38
New Zealand,1
Norway,23
Pakistan,1
Peru,4
Portugal,1
Romania,1
Russian Federation,2
Saudi Arabia,1
Singapore,10
Spain,1
Sweden,6
Switzerland,7
Thailand,2
Turkey,4
Uganda,2
United Kingdom,32
United States,439
Viet Nam,3
,0
