Country,Count
,0
Luxembourg,2
Czech Republic,9
Sweden,47
Syrian Arab Republic,1
Ireland,20
Singapore,33
Portugal,5
Colombia,1
Albania,3
Saudi Arabia,5
Ukraine,9
Latvia,1
"Iran, Islamic Republic of",7
Algeria,1
Slovakia,3
Israel,21
Kenya,2
Malaysia,5
"Taiwan, Province of China",3
Cyprus,1
Nigeria,13
China,301
Armenia,1
Qatar,1
Australia,154
United Arab Emirates,6
Georgia,8
Belgium,19
Thailand,10
United Kingdom,152
Germany,135
Canada,121
Namibia,3
Egypt,3
Greece,10
Chile,3
"Macedonia, Republic of",1
South Africa,8
Japan,95
New Zealand,29
Ecuador,3
Norway,24
Pakistan,9
Brazil,18
Guatemala,1
Ethiopia,4
Tunisia,3
Sudan,2
Mexico,1
Curaçao,6
Poland,5
Indonesia,7
Viet Nam,19
Jordan,2
Sri Lanka,1
Finland,27
"Tanzania, United Republic of",1
France,49
Ghana,4
Hong Kong,6
Philippines,8
United States,1352
Turkey,8
Netherlands,139
Spain,9
Italy,28
"Congo, The Democratic Republic of the",1
Argentina,14
India,244
"Korea, Republic of",4
Denmark,32
Mongolia,1
Switzerland,35
Russian Federation,137
Romania,9
Austria,2
Lithuania,2
"Moldova, Republic of",2
Bulgaria,1
Croatia,5
Nepal,2
Costa Rica,3
